"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "encodingImgTargetFile", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\modal.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 6, 7, 61
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\ModalTask.jsx", "JavaScript JSX", 0, 0, 204, 0, 0, 0, 0, 5, 10, 219
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\TaskHeader.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 1, 4, 73
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\TaskTableDisplay.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\table.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\tasks\tasktable.module.css", "CSS", 0, 0, 0, 0, 0, 437, 0, 23, 72, 532
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\constants\Regex.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\features\auth\authActions.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\features\auth\authSlice.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 7, 63
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\index.css", "CSS", 0, 0, 0, 0, 0, 155, 0, 5, 13, 173
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\Dashboard.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\Layout.module.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\messages\MessageDashboard.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 5, 73
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\messages\message.module.css", "CSS", 0, 0, 0, 0, 0, 102, 0, 5, 20, 127
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\AssignProjectForm.jsx", "JavaScript JSX", 0, 0, 300, 0, 0, 0, 0, 6, 21, 327
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\ProjectBoardDashboard.jsx", "JavaScript JSX", 0, 0, 346, 0, 0, 0, 0, 0, 19, 365
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\ProjectDashboard.jsx", "JavaScript JSX", 0, 0, 243, 0, 0, 0, 0, 4, 22, 269
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\ProjectFormDashboard.jsx", "JavaScript JSX", 0, 0, 262, 0, 0, 0, 0, 6, 9, 277
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\ProjectGridDashboard.jsx", "JavaScript JSX", 0, 0, 198, 0, 0, 0, 0, 5, 16, 219
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\ProjectsForm.css", "CSS", 0, 0, 0, 0, 0, 98, 0, 1, 17, 116
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\layout\projects\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
